City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,72.0,33,75,5.75,US,1685051598
1,puerto natales,-51.7236,-72.4875,32.59,91,98,5.48,CL,1685051598
2,yellowknife,62.456,-114.3525,57.72,54,40,9.22,CA,1685051598
3,waitangi,-43.9535,-176.5597,57.81,85,7,4.0,NZ,1685051598
4,roma,43.2128,-75.4557,63.52,47,0,7.0,US,1685051396
5,olonkinbyen,70.9221,-8.7187,30.54,63,42,23.51,SJ,1685051599
6,beau vallon,-20.4189,57.6953,72.21,82,85,15.75,MU,1685051599
7,port moresby,-9.4431,147.1797,74.62,94,100,5.75,PG,1685051525
8,saipan,15.1355,145.701,83.64,100,75,18.41,MP,1685051599
9,bredasdorp,-34.5322,20.0403,49.17,84,62,9.78,ZA,1685051600
10,qingdao,36.0986,120.3719,62.2,100,75,6.71,CN,1685051600
11,howard springs,-12.497,131.047,66.11,67,28,5.06,AU,1685051600
12,bethel,41.3712,-73.414,68.68,47,0,8.99,US,1685051330
13,longyearbyen,78.2186,15.6401,33.64,86,100,19.57,SJ,1685051317
14,nadym,65.5333,72.5167,52.36,53,99,14.52,RU,1685051601
15,ribeira grande,38.5167,-28.7,62.78,82,61,8.99,PT,1685051327
16,petropavlovsk-kamchatsky,53.0452,158.6483,48.79,71,75,4.47,RU,1685051601
17,bilibino,68.0546,166.4372,45.19,54,99,1.92,RU,1685051330
18,blackmans bay,-43.0167,147.3167,44.53,82,64,10.31,AU,1685051601
19,port mathurin,-19.6833,63.4167,77.67,77,11,12.3,MU,1685051602
20,darwin,-12.4611,130.8418,66.18,72,0,8.05,AU,1685051602
21,grytviken,-54.2811,-36.5092,34.41,98,99,6.11,GS,1685051602
22,palikir - national government center,6.9248,158.1611,81.45,89,75,10.36,FM,1685051602
23,fale old settlement,-9.3852,-171.2468,83.23,74,18,11.23,TK,1685051603
24,tiksi,71.6872,128.8694,29.12,83,100,9.15,RU,1685051603
25,thompson,55.7435,-97.8558,55.56,94,100,0.0,CA,1685051603
26,mumbwa,-14.9783,27.0619,60.35,47,0,4.54,ZM,1685051603
27,jipijapa,-1.3333,-80.5833,81.9,83,88,7.78,EC,1685051604
28,albany,42.6001,-73.9662,66.43,41,36,9.37,US,1685051604
29,estevan,49.1334,-102.9842,82.6,42,40,11.5,CA,1685051604
30,punta arenas,-53.15,-70.9167,35.71,75,40,10.36,CL,1685051604
31,adamstown,-25.066,-130.1015,74.1,68,53,6.35,PN,1685051605
32,kiunga,-6.1219,141.2906,71.35,100,100,1.45,PG,1685051605
33,badiyah,22.45,58.8,87.66,51,98,8.08,OM,1685051605
34,laguna,38.421,-121.4238,81.32,50,0,13.8,US,1685051605
35,ushuaia,-54.8,-68.3,35.26,80,40,9.22,AR,1685051606
36,papatowai,-46.5619,169.4708,56.34,66,100,9.53,NZ,1685051606
37,atafu village,-8.5421,-172.5159,83.32,74,33,8.81,TK,1685051606
38,dakhla,23.6848,-15.958,68.02,83,40,4.61,EH,1685051606
39,sengkang,-4.1279,120.0297,73.78,95,96,2.44,ID,1685051606
40,porto empedocle,37.2934,13.5264,64.31,65,100,6.71,IT,1685051607
41,port-aux-francais,-49.35,70.2167,41.59,99,99,18.88,TF,1685051607
42,anadyr,64.75,177.4833,32.5,100,100,6.71,RU,1685051607
43,avarua,-21.2078,-159.775,77.05,88,15,6.91,CK,1685051607
44,azemmour,33.2895,-8.3425,65.79,83,2,8.52,MA,1685051607
45,cabo san lucas,22.8909,-109.9124,91.62,30,75,8.05,MX,1685051608
46,tommot,58.9564,126.2925,46.26,66,65,4.25,RU,1685051608
47,vorgashor,67.5833,63.95,56.39,75,95,10.22,RU,1685051608
48,baijiantan,45.6333,85.1833,65.53,30,43,10.8,CN,1685051608
49,lent'ekhi,42.7856,42.7261,56.89,89,67,6.55,GE,1685051609
50,amga,60.8953,131.9608,46.83,66,64,1.5,RU,1685051609
51,makarov,48.6333,142.8,53.4,72,99,5.55,RU,1685051609
52,new norfolk,-42.7826,147.0587,45.72,73,90,1.99,AU,1685051609
53,vilyuchinsk,52.9306,158.4028,50.27,81,91,4.47,RU,1685051610
54,likiep,9.8251,169.3107,82.54,78,100,20.18,MH,1685051610
55,katsuura,35.1333,140.3,66.38,64,9,9.57,JP,1685051610
56,miramichi,47.0043,-65.4654,46.15,78,97,9.66,CA,1685051610
57,west island,-12.1568,96.8225,80.58,78,40,13.8,CC,1685051611
58,aasiaat,68.7098,-52.8699,31.68,79,2,5.17,GL,1685051611
59,goba,7.0167,39.9833,49.01,92,68,4.18,ET,1685051611
60,nsanje,-16.92,35.262,65.88,87,0,1.72,MW,1685051611
61,hacienda huancane,-15.8222,-70.8856,43.68,45,98,10.42,PE,1685051611
62,kimberley,-28.7323,24.7623,46.35,77,21,19.04,ZA,1685051318
63,chernyshevskiy,63.0128,112.4714,36.37,73,37,10.02,RU,1685051612
64,masterton,-40.9597,175.6575,54.88,75,17,8.1,NZ,1685051612
65,port elizabeth,-33.918,25.5701,55.69,91,40,17.27,ZA,1685051612
66,xiaoweizhai,26.1903,107.5125,69.98,94,95,8.95,CN,1685051612
67,margaret river,-33.95,115.0667,46.54,79,0,7.31,AU,1685051613
68,lebu,-37.6167,-73.65,54.03,85,62,18.95,CL,1685051613
69,san-pedro,4.7485,-6.6363,79.0,89,88,6.04,CI,1685051613
70,plesetsk,62.708,40.2916,52.79,95,83,5.66,RU,1685051613
71,carnarvon,-24.8667,113.6333,66.97,54,100,18.68,AU,1685051613
72,hawaiian paradise park,19.5933,-154.9731,78.73,81,100,8.05,US,1685051614
73,inongo,-1.95,18.2667,75.2,80,87,4.88,CD,1685051614
74,axim,4.8699,-2.2405,80.28,85,47,7.67,GH,1685051614
75,tadmur,34.5608,38.2805,71.37,36,2,7.09,SY,1685051614
76,vernon,50.2581,-119.2691,72.93,53,100,4.0,CA,1685051615
77,kalajoki,64.25,23.95,45.91,72,69,10.27,FI,1685051487
78,jamestown,42.097,-79.2353,63.52,52,0,14.97,US,1685051615
79,belo sur tsiribihina,-19.7,44.55,62.58,80,0,2.33,MG,1685051615
80,bubaque,11.2833,-15.8333,82.06,78,100,14.81,GW,1685051615
81,hafnarfjordur,64.0671,-21.9377,46.27,71,75,17.27,IS,1685051616
82,rio hato,8.3833,-80.1667,83.75,79,40,8.05,PA,1685051616
83,maych'ew,12.7875,39.5422,59.92,77,33,4.07,ET,1685051616
84,howrah,22.5892,88.3103,77.0,83,75,8.05,IN,1685051616
85,illizi,26.4833,8.4667,80.4,13,25,5.1,DZ,1685051616
86,juruti,-2.1522,-56.0922,78.31,89,96,4.74,BR,1685051617
87,garcia,25.8167,-100.5833,85.37,42,62,15.93,MX,1685051617
88,puerto armuelles,8.2833,-82.8667,82.17,82,93,5.41,PA,1685051617
89,iqaluit,63.7506,-68.5145,35.33,74,75,6.91,CA,1685051617
90,sur,22.5667,59.5289,91.78,49,85,16.98,OM,1685051617
91,arkhangel'sk,64.5401,40.5433,48.83,85,48,5.75,RU,1685051618
